"NGC 2403","NGC  2403",\N,114.214,65.6027,"8.4","10.2",\N,\N,"Need"
"NGC 2419","NGC  2419",\N,114.535,38.8819,"10.1","4.1",\N,\N,"Need"
"NGC 300","NGC   300",\N,13.7227,-37.6842,"8.1","20.9",\N,\N,"Need"
"NGC 3079","NGC  3079",\N,150.491,55.6798,"10.9","10.8",\N,\N,"Need"
"NGC 3190","NGC  3189",\N,154.524,21.8319,"11.1","6.1",\N,\N,"Need"
"NGC 3242","NGC  3242",\N,156.192,-18.6423,"12.1","0.1",\N,\N,"Need"
"NGC 404","NGC   404",\N,17.3626,35.7181,"11.7","6",\N,\N,"Need"
"NGC 4151","NGC  4151",\N,182.636,39.4058,"11.5","3.3",\N,\N,"Need"
"NGC 4361","NGC  4361",\N,186.128,-18.7849,"13.2","1.4",\N,\N,"Need"
"NGC 4485","NGC  4485",\N,187.63,41.7012,"11.9","1",\N,\N,"Need"
"NGC 4565","NGC  4565",\N,189.087,25.9874,"12.4","13.8",\N,\N,"Need"
"NGC 5189","NGC  5189",\N,203.387,-65.9742,"14.5","2.3",\N,\N,"Need"
"NGC 520","NGC   520",\N,21.1461,3.79241,"11.4","5.1",\N,\N,"Need"
"NGC 5866","M 102",\N,226.623,55.7633,"9.9","6.3",\N,\N,"Need"
"NGC 6537","NGC  6537",\N,271.305,-19.843,"13.6","0.3",\N,\N,"Need"
"NGC 6818","NGC  6818",\N,295.991,-14.1537,"9.3","0.4",\N,\N,"Need"
"NGC 6822","NGC  6822",\N,296.234,-14.7976,"8.1","13.8",\N,\N,"Need"
"NGC 6826","NGC  6826",\N,296.201,50.5251,"9.4","0.7",\N,\N,"Need"
"NGC 6984","NGC  6984",\N,314.475,-51.8708,"12.6","1.6",\N,\N,"Need"
"NGC 7009","NGC  7009",\N,316.045,-11.3635,"12.1","0.7",\N,\N,"Need"
"NGC 7331","NGC  7331",\N,339.267,34.4158,"9.5","10.5",\N,\N,"Need"
"NGC 891","NGC   891",\N,35.6371,42.3483,"9.9","12.3",\N,\N,"Need"
"NGC 925","NGC   925",\N,36.8205,33.5789,"10.1","10.5",\N,\N,"Need"
"3c 273","3C 273",\N,187.278,2.05239,"14.8 ",\N,\N,\N,"Need"
"Abell 21","ACO    21",\N,5.16144,28.6946,\N,"18.9 ",\N,\N,"Need"
"Abell 24","ACO    24",\N,5.625,23.293,\N,\N,\N,\N,"Need"
"Abell 74","ACO    74",\N,9.721,-22.308,\N,\N,\N,\N,"Need"
"Albireo","* bet01 Cyg",\N,292.68,27.9597,"3.1  ",\N,\N,\N,"Need"
"Barnard 150","LDN 1082",\N,312.77,60.18,\N,"20.0 ",\N,\N,"Need"
"Barnard 68","LDN   57",\N,260.659,-23.8261,\N,\N,\N,\N,"Need"
"HD 11154","*   1 Ari A",\N,27.5357,22.2753,"6.2  ",\N,\N,\N,"Need"
"HD 131156","* ksi Boo",\N,222.847,19.1005,"4.6  ",\N,\N,\N,"Need"
"HD 147933","* rho Oph A",\N,246.396,-23.4472,"5.1  ",\N,\N,\N,"Need"
"HD 164669","*  95 Her A",\N,270.377,21.5958,"4.8  ",\N,\N,\N,"Need"
"HD 173582","* eps01 Lyr A",\N,281.085,39.6701,"5.0  ",\N,\N,\N,"Need"
"HD 17506","* eta Per",\N,42.6742,55.8955,"3.8  ",\N,\N,\N,"Need"
"HD 197964","* gam02 Del",\N,311.665,16.1243,"4.2  ",\N,\N,\N,"Need"
"HD 22049","* eps Eri",\N,53.2327,-9.45826,"3.7  ",\N,\N,\N,"Need"
"HD 24554","*  32 Eri B",\N,58.5725,-2.95287,"6.1  ",\N,\N,\N,"Need"
"HD 33802","* iot Lep",\N,78.0746,-11.8691,"4.4  ",\N,\N,\N,"Need"
"HD 33959","*  14 Aur",\N,78.8516,32.6876,"5.0  ",\N,\N,\N,"Need"
"HD 4614","* eta Cas",\N,12.2762,57.8152,"3.4  ",\N,\N,\N,"Need"
"HD 64510","HD  64510",\N,118.864,29.1585,"8.3  ",\N,\N,\N,"Need"
"IC 1318","IC 1318",\N,304.2,41.957,\N,\N,\N,\N,"Need"
"IC 1318B","LBN 078.55+00.85",\N,307,40,\N,\N,\N,\N,"Need"
"IC 1396","IC 1396",\N,324.745,57.5139,\N,"146.0",\N,\N,"Need"
"IC 1795","IC 1795",\N,36.4313,62.1036,\N,"3.1  ",\N,\N,"Need"
"IC 1805","IC 1805",\N,38.21,61.4711,\N,"13.3 ",\N,\N,"Need"
"IC 1843","IC 1843",\N,41.3527,2.88038,\N,"1.3  ",\N,\N,"Need"
"IC 342","IC  342",\N,56.7021,68.0961,\N,"21.9 ",\N,\N,"Need"
"IC 348","IC  348",\N,56.1321,32.1589,\N,"480.0",\N,\N,"Need"
"IC 3481A","IC 3481A",\N,188.237,11.3901,\N,"0.6  ",\N,\N,"Need"
"IC 405","IC  405",\N,79.35,34.38,\N,\N,\N,\N,"Need"
"IC 443","IC  443",\N,94.25,22.57,\N,"45.0 ",\N,\N,"Need"
"IC 446","IC  446",\N,97.7596,10.435,\N,\N,\N,\N,"Need"
"IC 5070","IC 5070",\N,312.75,44.37,\N,\N,\N,\N,"Need"
"IC 5146","IC 5146",\N,328.372,47.246,\N,"8.2  ",\N,\N,"Need"
"LDN 1130","LDN 1130",\N,326.15,58.32,\N,"7.0  ",\N,\N,"Need"
"Mesarthim","* gam Ari",\N,28.3826,19.2939,\N,\N,\N,\N,"Need"
"Mirfak","* alf Per",\N,51.0807,49.8612,"1.8  ",\N,\N,\N,"Need"
"Mizar","* zet UMa",\N,200.981,54.9254,\N,\N,\N,\N,"Need"
"NGC 1023","NGC  1023",\N,40.1001,39.0632,"9.4  ",\N,\N,\N,"Need"
"NGC 1049","NAME Fornax H3",\N,39.9507,-34.2579,\N,\N,\N,\N,"Need"
"NGC 1555","NGC  1555",\N,65.4878,19.5352,\N,\N,\N,\N,"Need"
"NGC 1909","NGC  1909",\N,75.5,-7.9,\N,\N,\N,\N,"Need"
"NGC 1977","NGC  1977",\N,83.815,-4.8189,\N,\N,\N,\N,"Need"
"NGC 2024","NGC  2024",\N,85.429,-1.842,\N,\N,\N,\N,"Need"
"NGC 2158","NGC  2158",\N,91.8621,24.0989,\N,"5.3  ",\N,\N,"Need"
"NGC 2175","NGC  2175",\N,92.413,20.487,"6.8  ",\N,\N,\N,"Need"
